id_reg_pt,id_kls,nilai_angka,nilai_huruf,nilai_indeks
3001141,20141099,92,A,4
3001141,20141100,98,A,4
3001141,20141101,51,C,2
3001141,20141102,78,AB,3.5
3001141,20141103,34,E,0
3001141,20141104,93,A,4
3001141,20141105,61,BC,2.5
3001141,20141106,82,A,4
3001141,20141107,9,E,0
3001141,20141108,87,A,4
3001141,20141109,55,C,2
3001141,20141110,1,E,0
3001141,20141111,87,A,4
3001141,20141112,0,E,0
3001141,20141113,33,E,0
3001141,20141114,39,E,0
3001141,20141115,92,A,4
3001141,20141116,30,E,0
3001141,20141117,16,E,0
3001141,20141118,67,B,3
3001141,20141119,13,E,0
3001141,20141120,4,E,0
3001141,20141121,42,D,1
3001141,20141122,45,D,1
3001141,20141123,69,B,3
3001141,20141124,60,BC,2.5
3001141,20141125,18,E,0
3001141,20141126,20,E,0
3001141,20141127,90,A,4
3001141,20141128,15,E,0
3001141,20141129,8,E,0
3001141,20141130,74,AB,3.5
3001141,20141131,82,A,4
3001141,20141132,44,D,1
3001141,20141133,15,E,0
3001141,20141134,76,AB,3.5
3001141,20141135,10,E,0
3001141,20141136,96,A,4
3001141,20141137,58,BC,2.5
3001141,20141138,54,C,2
3001141,20141139,59,BC,2.5
3001141,20141140,6,E,0
3001141,20141141,58,BC,2.5
3001141,20141142,71,B,3
3001141,20141143,35,E,0
3001141,20141144,68,B,3
3001141,20141145,46,D,1
3001141,20141146,93,A,4
3001141,20141147,62,BC,2.5
3001141,20141148,40,D,1
3001141,20141149,64,BC,2.5
3001141,20141150,80,A,4
3001141,20141151,6,E,0
3002141,20141099,9,E,0
3002141,20141100,43,D,1
3002141,20141101,18,E,0
3002141,20141102,20,E,0
3002141,20141103,68,B,3
3002141,20141104,80,A,4
3002141,20141105,54,C,2
3002141,20141106,20,E,0
3002141,20141107,22,E,0
3002141,20141108,78,AB,3.5
3002141,20141109,25,E,0
3002141,20141110,90,A,4
3002141,20141111,17,E,0
3002141,20141112,96,A,4
3002141,20141113,74,AB,3.5
3002141,20141114,2,E,0
3002141,20141115,27,E,0
3002141,20141116,97,A,4
3002141,20141117,75,AB,3.5
3002141,20141118,93,A,4
3002141,20141119,53,C,2
3002141,20141120,6,E,0
3002141,20141121,2,E,0
3002141,20141122,37,E,0
3002141,20141123,44,D,1
3002141,20141124,27,E,0
3002141,20141125,64,BC,2.5
3002141,20141126,66,B,3
3002141,20141127,28,E,0
3002141,20141128,17,E,0
3002141,20141129,63,BC,2.5
3002141,20141130,42,D,1
3002141,20141131,55,C,2
3002141,20141132,21,E,0
3002141,20141133,24,E,0
3002141,20141134,50,C,2
3002141,20141135,40,D,1
3002141,20141136,61,BC,2.5
3002141,20141137,61,BC,2.5
3002141,20141138,79,AB,3.5
3002141,20141139,75,AB,3.5
3002141,20141140,19,E,0
3002141,20141141,7,E,0
3002141,20141142,40,D,1
3002141,20141143,64,BC,2.5
3002141,20141144,38,E,0
3002141,20141145,6,E,0
3002141,20141146,20,E,0
3002141,20141147,1,E,0
3002141,20141148,81,A,4
3002141,20141149,47,D,1
3002141,20141150,58,BC,2.5
3002141,20141151,1,E,0
3003141,20141099,41,D,1
3003141,20141100,66,B,3
3003141,20141101,27,E,0
3003141,20141102,83,A,4
3003141,20141103,74,AB,3.5
3003141,20141104,6,E,0
3003141,20141105,36,E,0
3003141,20141106,84,A,4
3003141,20141107,69,B,3
3003141,20141108,54,C,2
3003141,20141109,1,E,0
3003141,20141110,88,A,4
3003141,20141111,65,B,3
3003141,20141112,21,E,0
3003141,20141113,73,AB,3.5
3003141,20141114,6,E,0
3003141,20141115,40,D,1
3003141,20141116,96,A,4
3003141,20141117,86,A,4
3003141,20141118,37,E,0
3003141,20141119,99,A,4
3003141,20141120,78,AB,3.5
3003141,20141121,11,E,0
3003141,20141122,77,AB,3.5
3003141,20141123,88,A,4
3003141,20141124,9,E,0
3003141,20141125,85,A,4
3003141,20141126,95,A,4
3003141,20141127,82,A,4
3003141,20141128,23,E,0
3003141,20141129,95,A,4
3003141,20141130,66,B,3
3003141,20141131,46,D,1
3003141,20141132,39,E,0
3003141,20141133,78,AB,3.5
3003141,20141134,58,BC,2.5
3003141,20141135,53,C,2
3003141,20141136,85,A,4
3003141,20141137,27,E,0
3003141,20141138,66,B,3
3003141,20141139,94,A,4
3003141,20141140,56,C,2
3003141,20141141,2,E,0
3003141,20141142,76,AB,3.5
3003141,20141143,58,BC,2.5
3003141,20141144,18,E,0
3003141,20141145,83,A,4
3003141,20141146,27,E,0
3003141,20141147,5,E,0
3003141,20141148,17,E,0
3003141,20141149,66,B,3
3003141,20141150,96,A,4
3003141,20141151,10,E,0
3004141,20141099,48,D,1
3004141,20141100,69,B,3
3004141,20141101,89,A,4
3004141,20141102,46,D,1
3004141,20141103,19,E,0
3004141,20141104,81,A,4
3004141,20141105,72,AB,3.5
3004141,20141106,97,A,4
3004141,20141107,68,B,3
3004141,20141108,61,BC,2.5
3004141,20141109,67,B,3
3004141,20141110,81,A,4
3004141,20141111,58,BC,2.5
3004141,20141112,29,E,0
3004141,20141113,72,AB,3.5
3004141,20141114,56,C,2
3004141,20141115,87,A,4
3004141,20141116,49,D,1
3004141,20141117,78,AB,3.5
3004141,20141118,79,AB,3.5
3004141,20141119,68,B,3
3004141,20141120,34,E,0
3004141,20141121,16,E,0
3004141,20141122,76,AB,3.5
3004141,20141123,76,AB,3.5
3004141,20141124,65,B,3
3004141,20141125,50,C,2
3004141,20141126,24,E,0
3004141,20141127,11,E,0
3004141,20141128,12,E,0
3004141,20141129,98,A,4
3004141,20141130,77,AB,3.5
3004141,20141131,8,E,0
3004141,20141132,96,A,4
3004141,20141133,72,AB,3.5
3004141,20141134,84,A,4
3004141,20141135,36,E,0
3004141,20141136,31,E,0
3004141,20141137,21,E,0
3004141,20141138,49,D,1
3004141,20141139,0,E,0
3004141,20141140,98,A,4
3004141,20141141,0,E,0
3004141,20141142,23,E,0
3004141,20141143,93,A,4
3004141,20141144,62,BC,2.5
3004141,20141145,15,E,0
3004141,20141146,33,E,0
3004141,20141147,43,D,1
3004141,20141148,60,BC,2.5
3004141,20141149,29,E,0
3004141,20141150,89,A,4
3004141,20141151,92,A,4
3005141,20141099,21,E,0
3005141,20141100,56,C,2
3005141,20141101,28,E,0
3005141,20141102,33,E,0
3005141,20141103,23,E,0
3005141,20141104,20,E,0
3005141,20141105,78,AB,3.5
3005141,20141106,34,E,0
3005141,20141107,53,C,2
3005141,20141108,44,D,1
3005141,20141109,48,D,1
3005141,20141110,66,B,3
3005141,20141111,97,A,4
3005141,20141112,37,E,0
3005141,20141113,59,BC,2.5
3005141,20141114,61,BC,2.5
3005141,20141115,96,A,4
3005141,20141116,21,E,0
3005141,20141117,26,E,0
3005141,20141118,17,E,0
3005141,20141119,34,E,0
3005141,20141120,67,B,3
3005141,20141121,55,C,2
3005141,20141122,17,E,0
3005141,20141123,55,C,2
3005141,20141124,99,A,4
3005141,20141125,2,E,0
3005141,20141126,1,E,0
3005141,20141127,41,D,1
3005141,20141128,35,E,0
3005141,20141129,63,BC,2.5
3005141,20141130,27,E,0
3005141,20141131,91,A,4
3005141,20141132,3,E,0
3005141,20141133,13,E,0
3005141,20141134,47,D,1
3005141,20141135,45,D,1
3005141,20141136,96,A,4
3005141,20141137,22,E,0
3005141,20141138,69,B,3
3005141,20141139,88,A,4
3005141,20141140,97,A,4
3005141,20141141,69,B,3
3005141,20141142,9,E,0
3005141,20141143,28,E,0
3005141,20141144,41,D,1
3005141,20141145,98,A,4
3005141,20141146,56,C,2
3005141,20141147,5,E,0
3005141,20141148,77,AB,3.5
3005141,20141149,77,AB,3.5
3005141,20141150,65,B,3
3005141,20141151,55,C,2
3006141,20141099,9,E,0
3006141,20141100,41,D,1
3006141,20141101,31,E,0
3006141,20141102,93,A,4
3006141,20141103,34,E,0
3006141,20141104,38,E,0
3006141,20141105,25,E,0
3006141,20141106,28,E,0
3006141,20141107,87,A,4
3006141,20141108,89,A,4
3006141,20141109,69,B,3
3006141,20141110,7,E,0
3006141,20141111,26,E,0
3006141,20141112,59,BC,2.5
3006141,20141113,57,C,2
3006141,20141114,74,AB,3.5
3006141,20141115,72,AB,3.5
3006141,20141116,61,BC,2.5
3006141,20141117,38,E,0
3006141,20141118,88,A,4
3006141,20141119,71,B,3
3006141,20141120,14,E,0
3006141,20141121,43,D,1
3006141,20141122,1,E,0
3006141,20141123,76,AB,3.5
3006141,20141124,45,D,1
3006141,20141125,23,E,0
3006141,20141126,92,A,4
3006141,20141127,49,D,1
3006141,20141128,77,AB,3.5
3006141,20141129,42,D,1
3006141,20141130,27,E,0
3006141,20141131,13,E,0
3006141,20141132,54,C,2
3006141,20141133,37,E,0
3006141,20141134,32,E,0
3006141,20141135,45,D,1
3006141,20141136,78,AB,3.5
3006141,20141137,95,A,4
3006141,20141138,4,E,0
3006141,20141139,81,A,4
3006141,20141140,32,E,0
3006141,20141141,18,E,0
3006141,20141142,7,E,0
3006141,20141143,12,E,0
3006141,20141144,91,A,4
3006141,20141145,14,E,0
3006141,20141146,75,AB,3.5
3006141,20141147,84,A,4
3006141,20141148,6,E,0
3006141,20141149,25,E,0
3006141,20141150,24,E,0
3006141,20141151,42,D,1
3007141,20141099,50,C,2
3007141,20141100,23,E,0
3007141,20141101,79,AB,3.5
3007141,20141102,77,AB,3.5
3007141,20141103,89,A,4
3007141,20141104,20,E,0
3007141,20141105,89,A,4
3007141,20141106,88,A,4
3007141,20141107,30,E,0
3007141,20141108,59,BC,2.5
3007141,20141109,44,D,1
3007141,20141110,0,E,0
3007141,20141111,81,A,4
3007141,20141112,1,E,0
3007141,20141113,28,E,0
3007141,20141114,86,A,4
3007141,20141115,53,C,2
3007141,20141116,71,B,3
3007141,20141117,47,D,1
3007141,20141118,59,BC,2.5
3007141,20141119,34,E,0
3007141,20141120,66,B,3
3007141,20141121,57,C,2
3007141,20141122,42,D,1
3007141,20141123,60,BC,2.5
3007141,20141124,24,E,0
3007141,20141125,61,BC,2.5
3007141,20141126,82,A,4
3007141,20141127,17,E,0
3007141,20141128,44,D,1
3007141,20141129,5,E,0
3007141,20141130,43,D,1
3007141,20141131,74,AB,3.5
3007141,20141132,17,E,0
3007141,20141133,44,D,1
3007141,20141134,52,C,2
3007141,20141135,93,A,4
3007141,20141136,13,E,0
3007141,20141137,38,E,0
3007141,20141138,3,E,0
3007141,20141139,37,E,0
3007141,20141140,44,D,1
3007141,20141141,12,E,0
3007141,20141142,37,E,0
3007141,20141143,86,A,4
3007141,20141144,90,A,4
3007141,20141145,41,D,1
3007141,20141146,69,B,3
3007141,20141147,59,BC,2.5
3007141,20141148,65,B,3
3007141,20141149,47,D,1
3007141,20141150,30,E,0
3007141,20141151,85,A,4
3008142,20141099,45,D,1
3008142,20141100,34,E,0
3008142,20141101,51,C,2
3008142,20141102,46,D,1
3008142,20141103,38,E,0
3008142,20141104,1,E,0
3008142,20141105,11,E,0
3008142,20141106,62,BC,2.5
3008142,20141107,12,E,0
3008142,20141108,43,D,1
3008142,20141109,94,A,4
3008142,20141110,76,AB,3.5
3008142,20141111,46,D,1
3008142,20141112,34,E,0
3008142,20141113,86,A,4
3008142,20141114,1,E,0
3008142,20141115,61,BC,2.5
3008142,20141116,14,E,0
3008142,20141117,93,A,4
3008142,20141118,56,C,2
3008142,20141119,73,AB,3.5
3008142,20141120,91,A,4
3008142,20141121,94,A,4
3008142,20141122,78,AB,3.5
3008142,20141123,35,E,0
3008142,20141124,2,E,0
3008142,20141125,94,A,4
3008142,20141126,16,E,0
3008142,20141127,37,E,0
3008142,20141128,17,E,0
3008142,20141129,17,E,0
3008142,20141130,85,A,4
3008142,20141131,48,D,1
3008142,20141132,46,D,1
3008142,20141133,4,E,0
3008142,20141134,57,C,2
3008142,20141135,24,E,0
3008142,20141136,86,A,4
3008142,20141137,2,E,0
3008142,20141138,58,BC,2.5
3008142,20141139,77,AB,3.5
3008142,20141140,54,C,2
3008142,20141141,42,D,1
3008142,20141142,79,AB,3.5
3008142,20141143,8,E,0
3008142,20141144,70,B,3
3008142,20141145,67,B,3
3008142,20141146,70,B,3
3008142,20141147,91,A,4
3008142,20141148,28,E,0
3008142,20141149,15,E,0
3008142,20141150,46,D,1
3008142,20141151,38,E,0
3009142,20141099,67,B,3
3009142,20141100,19,E,0
3009142,20141101,44,D,1
3009142,20141102,66,B,3
3009142,20141103,44,D,1
3009142,20141104,19,E,0
3009142,20141105,9,E,0
3009142,20141106,27,E,0
3009142,20141107,57,C,2
3009142,20141108,10,E,0
3009142,20141109,41,D,1
3009142,20141110,65,B,3
3009142,20141111,8,E,0
3009142,20141112,17,E,0
3009142,20141113,62,BC,2.5
3009142,20141114,98,A,4
3009142,20141115,23,E,0
3009142,20141116,84,A,4
3009142,20141117,96,A,4
3009142,20141118,51,C,2
3009142,20141119,22,E,0
3009142,20141120,91,A,4
3009142,20141121,92,A,4
3009142,20141122,52,C,2
3009142,20141123,96,A,4
3009142,20141124,26,E,0
3009142,20141125,63,BC,2.5
3009142,20141126,97,A,4
3009142,20141127,93,A,4
3009142,20141128,48,D,1
3009142,20141129,20,E,0
3009142,20141130,47,D,1
3009142,20141131,7,E,0
3009142,20141132,97,A,4
3009142,20141133,16,E,0
3009142,20141134,14,E,0
3009142,20141135,3,E,0
3009142,20141136,27,E,0
3009142,20141137,81,A,4
3009142,20141138,95,A,4
3009142,20141139,87,A,4
3009142,20141140,45,D,1
3009142,20141141,77,AB,3.5
3009142,20141142,57,C,2
3009142,20141143,2,E,0
3009142,20141144,65,B,3
3009142,20141145,60,BC,2.5
3009142,20141146,60,BC,2.5
3009142,20141147,39,E,0
3009142,20141148,0,E,0
3009142,20141149,81,A,4
3009142,20141150,15,E,0
3009142,20141151,34,E,0
3010142,20141099,71,B,3
3010142,20141100,93,A,4
3010142,20141101,46,D,1
3010142,20141102,7,E,0
3010142,20141103,0,E,0
3010142,20141104,28,E,0
3010142,20141105,34,E,0
3010142,20141106,97,A,4
3010142,20141107,97,A,4
3010142,20141108,92,A,4
3010142,20141109,92,A,4
3010142,20141110,98,A,4
3010142,20141111,56,C,2
3010142,20141112,71,B,3
3010142,20141113,7,E,0
3010142,20141114,19,E,0
3010142,20141115,24,E,0
3010142,20141116,72,AB,3.5
3010142,20141117,46,D,1
3010142,20141118,10,E,0
3010142,20141119,31,E,0
3010142,20141120,93,A,4
3010142,20141121,81,A,4
3010142,20141122,14,E,0
3010142,20141123,17,E,0
3010142,20141124,76,AB,3.5
3010142,20141125,90,A,4
3010142,20141126,51,C,2
3010142,20141127,96,A,4
3010142,20141128,95,A,4
3010142,20141129,79,AB,3.5
3010142,20141130,83,A,4
3010142,20141131,96,A,4
3010142,20141132,85,A,4
3010142,20141133,3,E,0
3010142,20141134,85,A,4
3010142,20141135,36,E,0
3010142,20141136,85,A,4
3010142,20141137,94,A,4
3010142,20141138,59,BC,2.5
3010142,20141139,25,E,0
3010142,20141140,33,E,0
3010142,20141141,9,E,0
3010142,20141142,49,D,1
3010142,20141143,63,BC,2.5
3010142,20141144,27,E,0
3010142,20141145,5,E,0
3010142,20141146,36,E,0
3010142,20141147,75,AB,3.5
3010142,20141148,83,A,4
3010142,20141149,2,E,0
3010142,20141150,87,A,4
3010142,20141151,16,E,0
3011142,20141099,70,B,3
3011142,20141100,27,E,0
3011142,20141101,1,E,0
3011142,20141102,96,A,4
3011142,20141103,97,A,4
3011142,20141104,84,A,4
3011142,20141105,91,A,4
3011142,20141106,28,E,0
3011142,20141107,32,E,0
3011142,20141108,53,C,2
3011142,20141109,29,E,0
3011142,20141110,10,E,0
3011142,20141111,0,E,0
3011142,20141112,53,C,2
3011142,20141113,32,E,0
3011142,20141114,19,E,0
3011142,20141115,3,E,0
3011142,20141116,33,E,0
3011142,20141117,5,E,0
3011142,20141118,17,E,0
3011142,20141119,48,D,1
3011142,20141120,54,C,2
3011142,20141121,88,A,4
3011142,20141122,95,A,4
3011142,20141123,23,E,0
3011142,20141124,68,B,3
3011142,20141125,97,A,4
3011142,20141126,31,E,0
3011142,20141127,77,AB,3.5
3011142,20141128,1,E,0
3011142,20141129,63,BC,2.5
3011142,20141130,23,E,0
3011142,20141131,27,E,0
3011142,20141132,17,E,0
3011142,20141133,55,C,2
3011142,20141134,15,E,0
3011142,20141135,39,E,0
3011142,20141136,91,A,4
3011142,20141137,83,A,4
3011142,20141138,57,C,2
3011142,20141139,64,BC,2.5
3011142,20141140,79,AB,3.5
3011142,20141141,4,E,0
3011142,20141142,14,E,0
3011142,20141143,31,E,0
3011142,20141144,42,D,1
3011142,20141145,5,E,0
3011142,20141146,76,AB,3.5
3011142,20141147,61,BC,2.5
3011142,20141148,39,E,0
3011142,20141149,93,A,4
3011142,20141150,17,E,0
3011142,20141151,95,A,4
3012142,20141099,63,BC,2.5
3012142,20141100,95,A,4
3012142,20141101,99,A,4
3012142,20141102,32,E,0
3012142,20141103,88,A,4
3012142,20141104,19,E,0
3012142,20141105,72,AB,3.5
3012142,20141106,10,E,0
3012142,20141107,97,A,4
3012142,20141108,67,B,3
3012142,20141109,49,D,1
3012142,20141110,68,B,3
3012142,20141111,69,B,3
